INDEX:10194:<int>,OrderID:10194:<string>,Order:10194:<DateTimeISO>,ShipDateTimeISO:10194:<DateTimeISO>,ShipMode:10194:<string>,CustomerID:10194:<string>,CustomerName:10194:<string>,Segment:10194:<string>,Country/Region:10194:<string>,City:10194:<string>,State/Province:10194:<string>,PostalCode:10194:<int>,Region:10194:<string>,ProductID:10194:<string>,Category:10194:<string>,Sub-Category:10194:<string>,ProductName:10194:<string>,Sales:10194:<string>,Quantity:10194:<string>,Discount:10194:<string>,Profit:10194:<string>
11,US-2021-167199,06-01-2021,10-01-2021,StandardClass,ME-17320,MariaEtezadi,HomeOffice,UnitedStates,Henderson,Kentucky,42420,South,OFF-PA-10000955,OfficeSupplies,Paper,Southworth25%CottonGranitePaper&Envelopes,6.54,1,0,3.0084
12,US-2021-130813,06-01-2021,08-01-2021,SecondClass,LS-17230,LycorisSaunders,Consumer,UnitedStates,LosAngeles,California,90049,West,OFF-PA-10002005,OfficeSupplies,Paper,Xerox225,19.44,3,0,9.3312
13,US-2021-167199,06-01-2021,10-01-2021,StandardClass,ME-17320,MariaEtezadi,HomeOffice,UnitedStates,Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,Phones,WirelessExtenderszBoostYX545SOHOSignalBooster,755.96,4,0,204.1092
14,US-2021-167199,06-01-2021,10-01-2021,StandardClass,ME-17320,MariaEtezadi,HomeOffice,UnitedStates,Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,Phones,GE30524EE4,391.98,2,0,113.6742
15,US-2021-105417,07-01-2021,12-01-2021,StandardClass,VS-21820,VivekSundaresam,Consumer,UnitedStates,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,"HowardMiller14-1/2""DiameterChromeRoundWallClock",76.728,3,0.6,-53.7096
16,US-2021-105417,07-01-2021,12-01-2021,StandardClass,VS-21820,VivekSundaresam,Consumer,UnitedStates,Huntsville,Texas,77340,Central,OFF-BI-10003708,OfficeSupplies,Binders,"AccoFourPocketPolyRingBinderwithLabelHolder,Smoke,1""",10.43,7,0.8,-18.2525
17,US-2021-135405,09-01-2021,13-01-2021,StandardClass,MS-17830,MelanieSeite,Consumer,UnitedStates,Laredo,Texas,78041,Central,OFF-AR-10004078,OfficeSupplies,Art,Newell312,9.344,2,0.2,1.168
18,US-2021-135405,09-01-2021,13-01-2021,StandardClass,MS-17830,MelanieSeite,Consumer,UnitedStates,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,MemorexMicroTravelDrive8GB,31.2,3,0.2,9.75
19,US-2021-149020,10-01-2021,15-01-2021,StandardClass,AJ-10780,AnthonyJacobs,Corporate,UnitedStates,Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,"HowardMiller11-1/2""DiameterRidgewoodWallClock",51.94,1,0,21.2954
20,US-2021-149020,10-01-2021,15-01-2021,StandardClass,AJ-10780,AnthonyJacobs,Corporate,UnitedStates,Springfield,Virginia,22153,South,OFF-LA-10004272,OfficeSupplies,Labels,Avery482,2.89,1,0,1.3583
21,US-2021-130092,11-01-2021,14-01-2021,FirstClass,SV-20365,SethVernon,Consumer,UnitedStates,Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,"DAXValueU-ChannelDocumentFrames,EaselBack",9.94,2,0,3.0814
22,US-2021-157147,13-01-2021,18-01-2021,StandardClass,BD-11605,BrianDahlen,Consumer,UnitedStates,SanFrancisco,California,94109,West,FUR-BO-10003034,Furniture,Bookcases,"O'SullivanElevationsBookcase,CherryFinish",333.999,3,0.15,3.9294
23,US-2021-109232,13-01-2021,16-01-2021,SecondClass,ND-18370,NatalieDeCherney,Consumer,UnitedStates,MountPleasant,SouthCarolina,29464,South,FUR-CH-10000422,Furniture,Chairs,GlobalHighbackLeatherTilterinBurgundy,545.94,6,0,87.3504
24,US-2021-157147,13-01-2021,18-01-2021,StandardClass,BD-11605,BrianDahlen,Consumer,UnitedStates,SanFrancisco,California,94109,West,OFF-AR-10003514,OfficeSupplies,Art,4009HighlightersbySanford,19.9,5,0,6.567
25,US-2021-118192,13-01-2021,18-01-2021,StandardClass,MM-17920,MichaelMoore,Consumer,UnitedStates,Newark,Ohio,43055,East,OFF-BI-10003476,OfficeSupplies,Binders,AveryMetallicPolyBinders,3.438,2,0.7,-2.5212
26,US-2021-162775,13-01-2021,15-01-2021,SecondClass,CS-12250,ChrisSelesnick,Corporate,UnitedStates,BossierCity,Louisiana,71111,South,OFF-BI-10004187,OfficeSupplies,Binders,3-ringstaplepack,5.64,3,0,2.7072
27,US-2021-162775,13-01-2021,15-01-2021,SecondClass,CS-12250,ChrisSelesnick,Corporate,UnitedStates,BossierCity,Louisiana,71111,South,OFF-EN-10001532,OfficeSupplies,Envelopes,BrownKraftRecycledEnvelopes,50.94,3,0,25.47
28,US-2021-162775,13-01-2021,15-01-2021,SecondClass,CS-12250,ChrisSelesnick,Corporate,UnitedStates,BossierCity,Louisiana,71111,South,OFF-EN-10001990,OfficeSupplies,Envelopes,Stapleenvelope,11.36,2,0,5.3392
29,US-2021-118192,13-01-2021,18-01-2021,StandardClass,MM-17920,MichaelMoore,Consumer,UnitedStates,Newark,Ohio,43055,East,OFF-PA-10002947,OfficeSupplies,Paper,Xerox1923,37.408,7,0.2,13.0928
30,US-2021-162775,13-01-2021,15-01-2021,SecondClass,CS-12250,ChrisSelesnick,Corporate,UnitedStates,BossierCity,Louisiana,71111,South,OFF-ST-10000025,OfficeSupplies,Storage,FellowesStor/DrawerSteelPlusStorageDrawers,572.58,6,0,34.3548
31,US-2021-157147,13-01-2021,18-01-2021,StandardClass,BD-11605,BrianDahlen,Consumer,UnitedStates,SanFrancisco,California,94109,West,OFF-ST-10000078,OfficeSupplies,Storage,Tennsco6-and18-CompartmentLockers,1325.85,5,0,238.653
32,US-2021-162775,13-01-2021,15-01-2021,SecondClass,CS-12250,ChrisSelesnick,Corporate,UnitedStates,BossierCity,Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,PlantronicsS12CordedTelephoneHeadsetSystem,646.74,6,0,258.696
33,US-2021-149524,14-01-2021,15-01-2021,FirstClass,BS-11590,BrendanSweed,Corporate,UnitedStates,Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,SauderCornerstoneCollectionLibrary,61.96,4,0.5,-53.2856
34,US-2021-103366,15-01-2021,17-01-2021,FirstClass,EH-13990,EricaHackney,Consumer,UnitedStates,Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,Logitech910-002974M325WirelessMouseforWebScrolling,149.95,5,0,65.978
35,US-2021-115791,16-01-2021,18-01-2021,SecondClass,DL-13315,DelfinaLatchford,Consumer,UnitedStates,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,DAXBlackCherryWood-TonePosterFrame,127.104,6,0.2,28.5984
36,US-2021-115791,16-01-2021,18-01-2021,SecondClass,DL-13315,DelfinaLatchford,Consumer,UnitedStates,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,OfficeSupplies,Binders,GBCLinenBindingCovers,18.588,2,0.7,-13.6312
37,US-2021-115791,16-01-2021,18-01-2021,SecondClass,DL-13315,DelfinaLatchford,Consumer,UnitedStates,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,OfficeSupplies,Labels,RoundSpecialtyLaserPrinterLabels,30.072,3,0.2,10.1493
38,US-2021-115791,16-01-2021,18-01-2021,SecondClass,DL-13315,DelfinaLatchford,Consumer,UnitedStates,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,AT&T841000Phone,124.2,3,0.4,-31.05
39,US-2021-123477,18-01-2021,21-01-2021,SecondClass,DW-13195,DavidWiener,Corporate,UnitedStates,Springfield,Oregon,97477,West,OFF-AP-10000692,OfficeSupplies,Appliances,FellowesMighty8CompactSurgeProtector,64.864,4,0.2,6.4864
40,US-2021-146591,19-01-2021,20-01-2021,FirstClass,TS-21340,TobySwindell,Consumer,UnitedStates,Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan4-ShelfBookcaseinOdessaPine,181.47,5,0.7,-320.597
41,US-2021-146591,19-01-2021,20-01-2021,FirstClass,TS-21340,TobySwindell,Consumer,UnitedStates,Scottsdale,Arizona,85254,West,OFF-BI-10003676,OfficeSupplies,Binders,"GBCStandardRecycledReportCovers,ClearPlasticSheets",32.34,10,0.7,-23.716
42,US-2021-146591,19-01-2021,20-01-2021,FirstClass,TS-21340,TobySwindell,Consumer,UnitedStates,Scottsdale,Arizona,85254,West,OFF-EN-10002504,OfficeSupplies,Envelopes,"TyvekTop-OpeningPeel&SeelEnvelopes,PlainWhite",108.72,5,0.2,36.693
43,US-2021-146591,19-01-2021,20-01-2021,FirstClass,TS-21340,TobySwindell,Consumer,UnitedStates,Scottsdale,Arizona,85254,West,OFF-PA-10000659,OfficeSupplies,Paper,"TOPSCarbonlessReceiptBook,Four2-3/4x7-1/4MoneyReceiptsperPage",56.064,4,0.2,19.6224
44,US-2021-147627,20-01-2021,26-01-2021,StandardClass,HL-15040,HunterLopez,Consumer,UnitedStates,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,Hon4700SeriesMobuisMid-BackTaskChairswithAdjustableArms,1067.94,3,0,224.2674
45,US-2021-167927,20-01-2021,26-01-2021,StandardClass,XP-21865,XylonaPreis,Consumer,UnitedStates,Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,UltraDoorPushPlate,14.73,3,0,4.8609
46,US-2021-167927,20-01-2021,26-01-2021,StandardClass,XP-21865,XylonaPreis,Consumer,UnitedStates,Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,EldonClusterMatChairMatwithCordlessAntistaticProtection,272.94,3,0,30.0234
47,US-2021-147627,20-01-2021,26-01-2021,StandardClass,HL-15040,HunterLopez,Consumer,UnitedStates,Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Furniture,Furnishings,"EldonExpressionsDeskAccessory,WoodPencilHolder,Oak",38.6,4,0,11.58
48,US-2021-148614,20-01-2021,25-01-2021,StandardClass,MV-17485,MarkVanHuff,Consumer,UnitedStates,LosAngeles,California,90049,West,FUR-FU-10003194,Furniture,Furnishings,"EldonExpressionsDeskAccessory,WoodPencilHolder,Oak",19.3,2,0,5.79
49,US-2021-167927,20-01-2021,26-01-2021,StandardClass,XP-21865,XylonaPreis,Consumer,UnitedStates,Westland,Michigan,48185,Central,OFF-AP-10002311,OfficeSupplies,Appliances,"HolmesReplacementFilterforHEPAAirCleaner,VeryLargeRoom,HEPAFilter",247.716,4,0.1,93.5816
50,US-2021-147627,20-01-2021,26-01-2021,StandardClass,HL-15040,HunterLopez,Consumer,UnitedStates,Jonesboro,Arkansas,72401,South,OFF-AR-10002375,OfficeSupplies,Art,Newell351,22.96,7,0,6.6584
51,US-2021-147627,20-01-2021,26-01-2021,StandardClass,HL-15040,HunterLopez,Consumer,UnitedStates,Jonesboro,Arkansas,72401,South,OFF-AR-10003811,OfficeSupplies,Art,Newell327,6.63,3,0,1.7901
52,US-2021-167927,20-01-2021,26-01-2021,StandardClass,XP-21865,XylonaPreis,Consumer,UnitedStates,Westland,Michigan,48185,Central,OFF-AR-10004456,OfficeSupplies,Art,PanasonicKP-4ABKBattery-OperatedPencilSharpener,43.92,3,0,12.7368
53,US-2021-167927,20-01-2021,26-01-2021,StandardClass,XP-21865,XylonaPreis,Consumer,UnitedStates,Westland,Michigan,48185,Central,OFF-BI-10000605,OfficeSupplies,Binders,"AccoPressboardCoverswithStorageHooks,91/2""x11"",ExecutiveRed",19.05,5,0,8.9535
54,US-2021-147774,20-01-2021,26-01-2021,StandardClass,MM-18280,MuhammedMacIntyre,Corporate,UnitedStates,Smyrna,Tennessee,37167,South,OFF-BI-10003091,OfficeSupplies,Binders,GBCDocuBindTL200ManualBindingMachine,67.194,1,0.7,-51.5154
55,US-2021-167927,20-01-2021,26-01-2021,StandardClass,XP-21865,XylonaPreis,Consumer,UnitedStates,Westland,Michigan,48185,Central,OFF-BI-10004364,OfficeSupplies,Binders,StorexDuraProBinders,29.7,5,0,13.365
56,US-2021-147627,20-01-2021,26-01-2021,StandardClass,HL-15040,HunterLopez,Consumer,UnitedStates,Jonesboro,Arkansas,72401,South,OFF-EN-10001539,OfficeSupplies,Envelopes,Stapleenvelope,23.34,3,0,10.9698
57,US-2021-148614,20-01-2021,25-01-2021,StandardClass,MV-17485,MarkVanHuff,Consumer,UnitedStates,LosAngeles,California,90049,West,OFF-PA-10002893,OfficeSupplies,Paper,"WireboundServiceCallBooks,51/2""x4""",19.36,2,0,9.2928
58,US-2021-167927,20-01-2021,26-01-2021,StandardClass,XP-21865,XylonaPreis,Consumer,UnitedStates,Westland,Michigan,48185,Central,OFF-ST-10000760,OfficeSupplies,Storage,EldonFold'NRollCartSystem,13.98,1,0,4.0542
59,US-2021-167927,20-01-2021,26-01-2021,StandardClass,XP-21865,XylonaPreis,Consumer,UnitedStates,Westland,Michigan,48185,Central,OFF-ST-10003123,OfficeSupplies,Storage,FellowesBasesandTopsForStaxonsteel/High-StakSystems,66.58,2,0,15.9792
60,US-2021-147627,20-01-2021,26-01-2021,StandardClass,HL-15040,HunterLopez,Consumer,UnitedStates,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,AppleiPhone5C,699.93,7,0,181.9818
61,US-2021-110422,21-01-2021,23-01-2021,SecondClass,TB-21400,TomBoeckenhauer,Consumer,UnitedStates,Miami,Florida,33180,South,FUR-FU-10001889,Furniture,Furnishings,UltraDoorPullHandle,25.248,3,0.2,4.1028
62,CA-2021-115238,21-01-2021,24-01-2021,StandardClass,JW-15220,JaneWaco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10001025,Furniture,Furnishings,"EldonImgeSeriesDeskAccessories,Clear",24.3,5,0,10.45
63,CA-2021-115238,21-01-2021,24-01-2021,StandardClass,JW-15220,JaneWaco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002445,Furniture,Furnishings,"DAXTwo-ToneRosewood/BlackDocumentFrame,Desktop,5x7",9.48,1,0,3.79
64,CA-2021-115238,21-01-2021,24-01-2021,StandardClass,JW-15220,JaneWaco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002960,Furniture,Furnishings,"Eldon200ClassDeskAccessories,Burgundy",31.4,5,0,13.19
65,CA-2021-115238,21-01-2021,24-01-2021,StandardClass,JW-15220,JaneWaco,Corporate,Canada,Toronto,Ontario,M7A,East,OFF-PA-10002689,OfficeSupplies,Paper,WeyerhaeuserFirstChoiceLaser/CopyPaper(20Lb.and88Bright),6.48,1,0,3.11
66,CA-2021-115238,21-01-2021,24-01-2021,StandardClass,JW-15220,JaneWaco,Corporate,Canada,Toronto,Ontario,M7A,East,TEC-PH-10001300,Technology,Phones,"iKrossBluetoothPortableKeyboard+CellPhoneStandHolder+BrushforAppleiPhone5S5C5,4S4",209.5,10,0,58.66
67,US-2021-146997,23-01-2021,27-01-2021,StandardClass,SG-20605,SperosGoranitis,Consumer,UnitedStates,Lafayette,Indiana,47905,Central,OFF-FA-10003467,OfficeSupplies,Fasteners,"AllianceBigBandsRubberBands,12/Pack",5.94,3,0,0
68,US-2021-102645,23-01-2021,28-01-2021,StandardClass,IM-15055,IoniaMcGrath,Consumer,UnitedStates,LasVegas,Nevada,89115,West,OFF-PA-10001804,OfficeSupplies,Paper,Xerox195,40.08,6,0,19.2384
69,US-2021-167997,26-01-2021,29-01-2021,FirstClass,CA-11965,CarolAdams,Corporate,UnitedStates,RapidCity,SouthDakota,57701,Central,FUR-BO-10004409,Furniture,Bookcases,"SafcoValueMateSeriesSteelBookcases,BakedEnamelFinishonSteel,Gray",141.96,2,0,39.7488
70,US-2021-155502,26-01-2021,31-01-2021,StandardClass,SD-20485,ShirleyDaniels,HomeOffice,UnitedStates,Alexandria,Virginia,22304,South,FUR-FU-10001847,Furniture,Furnishings,EldonImageSeriesBlackDeskAccessories,12.42,3,0,4.4712
71,US-2021-155502,26-01-2021,31-01-2021,StandardClass,SD-20485,ShirleyDaniels,HomeOffice,UnitedStates,Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,"GEGeneralUseHalogenBulbs,100Watts,1BulbperPack",62.82,3,0,30.7818
72,US-2021-167997,26-01-2021,29-01-2021,FirstClass,CA-11965,CarolAdams,Corporate,UnitedStates,RapidCity,SouthDakota,57701,Central,OFF-BI-10001758,OfficeSupplies,Binders,WilsonJones14LineAcrylicCoatedPressboardDataBinders,10.68,2,0,5.0196
73,US-2021-155502,26-01-2021,31-01-2021,StandardClass,SD-20485,ShirleyDaniels,HomeOffice,UnitedStates,Alexandria,Virginia,22304,South,OFF-PA-10000380,OfficeSupplies,Paper,"REDIFORMIncoming/OutgoingCallRegister,11""X81/2"",100Messages",16.68,2,0,8.34
74,US-2021-155502,26-01-2021,31-01-2021,StandardClass,SD-20485,ShirleyDaniels,HomeOffice,UnitedStates,Alexandria,Virginia,22304,South,OFF-PA-10003072,OfficeSupplies,Paper,"EurekaRecycledCopyPaper81/2""x11"",Ream",19.44,3,0,9.3312
75,US-2021-155502,26-01-2021,31-01-2021,StandardClass,SD-20485,ShirleyDaniels,HomeOffice,UnitedStates,Alexandria,Virginia,22304,South,OFF-ST-10004337,OfficeSupplies,Storage,"SAFCOCommercialWireShelving,72h",489.92,8,0,0
76,US-2021-155502,26-01-2021,31-01-2021,StandardClass,SD-20485,ShirleyDaniels,HomeOffice,UnitedStates,Alexandria,Virginia,22304,South,TEC-PH-10002103,Technology,Phones,JabraSPEAK410,187.98,2,0,52.6344
77,US-2021-155502,26-01-2021,31-01-2021,StandardClass,SD-20485,ShirleyDaniels,HomeOffice,UnitedStates,Alexandria,Virginia,22304,South,TEC-PH-10004833,Technology,Phones,MacallySuctionCupMount,155.35,13,0,0
78,US-2021-117163,27-01-2021,02-02-2021,StandardClass,EJ-13720,EdJacobs,Consumer,UnitedStates,SanDiego,California,92037,West,FUR-TA-10003469,Furniture,Tables,BaltSplitLevelComputerTrainingTable,333,3,0.2,-16.65
79,US-2021-117163,27-01-2021,02-02-2021,StandardClass,EJ-13720,EdJacobs,Consumer,UnitedStates,SanDiego,California,92037,West,OFF-AR-10003179,OfficeSupplies,Art,DixonTiconderogaCore-LockColoredPencils,36.44,4,0,12.0252
80,US-2021-117163,27-01-2021,02-02-2021,StandardClass,EJ-13720,EdJacobs,Consumer,UnitedStates,SanDiego,California,92037,West,OFF-ST-10003692,OfficeSupplies,Storage,RecycledSteelPersonalFileforHangingFileFolders,57.23,1,0,14.3075
81,US-2021-100328,28-01-2021,03-02-2021,StandardClass,JC-15340,JasperCacioppo,Consumer,UnitedStates,NewYorkCity,NewYork,10024,East,OFF-BI-10000343,OfficeSupplies,Binders,"PressboardCoverswithStorageHooks,91/2""x11"",LightBlue",3.928,1,0.2,1.3257
82,US-2021-134103,30-01-2021,04-02-2021,StandardClass,MV-18190,MikeVittorini,Consumer,UnitedStates,Detroit,Michigan,48234,Central,OFF-PA-10001204,OfficeSupplies,Paper,Xerox1972,10.56,2,0,4.752
83,US-2021-134103,30-01-2021,04-02-2021,StandardClass,MV-18190,MikeVittorini,Consumer,UnitedStates,Detroit,Michigan,48234,Central,OFF-ST-10000991,OfficeSupplies,Storage,SpaceSolutionsHDIndustrialSteelShelving.,229.94,2,0,6.8982
84,US-2021-115161,31-01-2021,02-02-2021,FirstClass,LC-17050,LizCarlisle,Consumer,UnitedStates,MissionViejo,California,92691,West,FUR-BO-10003966,Furniture,Bookcases,"SauderFacetsCollectionLibrary,SkyAlderFinish",290.666,2,0.15,3.4196
85,US-2021-140795,01-02-2021,03-02-2021,FirstClass,BD-11500,BradleyDrucker,Consumer,UnitedStates,GreenBay,Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,EnermaxAuroraLiteKeyboard,468.9,6,0,206.316
86,US-2021-123400,02-02-2021,09-02-2021,StandardClass,EB-13930,EricBarreto,Consumer,UnitedStates,SaintPetersburg,Florida,33710,South,OFF-BI-10000666,OfficeSupplies,Binders,SurelockPostBinders,18.336,2,0.7,-12.224
87,US-2021-139857,02-02-2021,06-02-2021,StandardClass,CD-12790,CynthiaDelaney,HomeOffice,UnitedStates,SanDiego,California,92037,West,OFF-FA-10001843,OfficeSupplies,Fasteners,Staples,12.35,5,0,5.8045
88,US-2021-123400,02-02-2021,09-02-2021,StandardClass,EB-13930,EricBarreto,Consumer,UnitedStates,SaintPetersburg,Florida,33710,South,TEC-PH-10002890,Technology,Phones,AT&T17929LendlineTelephone,180.96,5,0.2,13.572
89,US-2021-111059,03-02-2021,06-02-2021,SecondClass,TB-21400,TomBoeckenhauer,Consumer,UnitedStates,Seattle,Washington,98105,West,OFF-BI-10002827,OfficeSupplies,Binders,AveryDurablePolyBinders,13.272,3,0.2,4.3134
90,US-2021-111059,03-02-2021,06-02-2021,SecondClass,TB-21400,TomBoeckenhauer,Consumer,UnitedStates,Seattle,Washington,98105,West,OFF-BI-10004593,OfficeSupplies,Binders,IbicoLaserImprintableBindingSystemCovers,83.84,2,0.2,27.248
91,US-2021-104808,04-02-2021,08-02-2021,SecondClass,MH-17440,MarkHaberlin,Corporate,UnitedStates,Escondido,California,92025,West,OFF-BI-10003676,OfficeSupplies,Binders,"GBCStandardRecycledReportCovers,ClearPlasticSheets",17.248,2,0.2,6.0368
92,US-2021-107181,04-02-2021,08-02-2021,StandardClass,DB-13270,DeborahBrumfield,HomeOffice,UnitedStates,SanDiego,California,92024,West,OFF-BI-10004230,OfficeSupplies,Binders,GBCRecycledGrainTexturedCovers,82.896,3,0.2,29.0136
93,US-2021-107181,04-02-2021,08-02-2021,StandardClass,DB-13270,DeborahBrumfield,HomeOffice,UnitedStates,SanDiego,California,92024,West,OFF-PA-10000350,OfficeSupplies,Paper,"MessageBook,StandardLine""WhileYouWereOut"",51/2""X4"",200Sets/Book",34.24,4,0,16.0928
94,US-2021-108182,06-02-2021,10-02-2021,SecondClass,DL-13315,DelfinaLatchford,Consumer,UnitedStates,Romeoville,Illinois,60441,Central,OFF-BI-10001196,OfficeSupplies,Binders,"AveryFlip-ChartEaselBinder,Black",8.952,2,0.8,-14.7708
95,US-2021-131905,06-02-2021,09-02-2021,FirstClass,ND-18460,NeilDucich,Corporate,UnitedStates,Chesapeake,Virginia,23320,South,OFF-LA-10002787,OfficeSupplies,Labels,Avery480,15,4,0,7.2
96,US-2021-131905,06-02-2021,09-02-2021,FirstClass,ND-18460,NeilDucich,Corporate,UnitedStates,Chesapeake,Virginia,23320,South,TEC-PH-10001615,Technology,Phones,AT&TCL82213,144.95,5,0,42.0355
97,US-2021-131905,06-02-2021,09-02-2021,FirstClass,ND-18460,NeilDucich,Corporate,UnitedStates,Chesapeake,Virginia,23320,South,TEC-PH-10003645,Technology,Phones,Aastra57iVoIPphone,161.61,1,0,42.0186
98,US-2021-169390,07-02-2021,10-02-2021,SecondClass,CS-12250,ChrisSelesnick,Corporate,UnitedStates,NewYorkCity,NewYork,10024,East,OFF-ST-10001558,OfficeSupplies,Storage,AccoPerma4000StackingStorageDrawers,64.96,4,0,9.744
99,US-2021-107755,07-02-2021,12-02-2021,StandardClass,CK-12760,CymaKinney,Corporate,UnitedStates,Linden,NewJersey,07036,East,TEC-AC-10000710,Technology,Accessories,MaxellDVD-RAMDiscs,115.36,7,0,49.6048
100,US-2021-125759,08-02-2021,09-02-2021,FirstClass,NM-18445,NathanMautz,HomeOffice,UnitedStates,NorthLasVegas,Nevada,89031,West,FUR-FU-10002111,Furniture,Furnishings,"MasterCasterDoorStop,LargeBrown",14.56,2,0,5.5328
101,US-2021-168368,11-02-2021,15-02-2021,SecondClass,GA-14725,GuyArmstrong,Consumer,UnitedStates,Columbia,Missouri,65203,Central,FUR-CH-10001146,Furniture,Chairs,"GlobalValueMid-BackManager'sChair,Gray",60.89,1,0,15.2225
102,US-2021-168368,11-02-2021,15-02-2021,SecondClass,GA-14725,GuyArmstrong,Consumer,UnitedStates,Columbia,Missouri,65203,Central,FUR-FU-10002298,Furniture,Furnishings,"RubbermaidClusterMatChairmats,MatSize-66""x60"",Lip20""x11""-90DegreeAngle",332.94,3,0,53.2704
103,US-2021-127614,11-02-2021,15-02-2021,StandardClass,NF-18385,NatalieFritzler,Consumer,UnitedStates,Chesapeake,Virginia,23320,South,FUR-TA-10003715,Furniture,Tables,Hon2111InvitationSeriesCornerTable,1256.22,6,0,75.3732
